분야필터,기관명,대표자명,상세보기소재지,도/시,시/군/구,전화,팩스,비고,유효기간
건강기능식품,(주)오에이티씨(OATC Inc.),방상구,"서울특별시 금천구 범안로 1130, 디지털엠파이어빌딩 801~806호, 905-912호, 1010~1011호",서울특별시,금천구,070-4044-8832,070-4032-1902,,28.2.2
기구 및 용기·포장,(주)오에이티씨(OATC Inc.),방상구,"서울특별시 금천구 범안로 1130, 디지털엠파이어빌딩 801~806호, 905-912호, 1010~1011호",서울특별시,금천구,070-4044-8832,070-4032-1902,,28.2.2
식품,(주)오에이티씨(OATC Inc.),방상구,"서울특별시 금천구 범안로 1130, 디지털엠파이어빌딩 801~806호, 905-912호, 1010~1011호",서울특별시,금천구,070-4044-8832,070-4032-1902,,28.2.2
식품첨가물,(주)오에이티씨(OATC Inc.),방상구,"서울특별시 금천구 범안로 1130, 디지털엠파이어빌딩 801~806호, 905-912호, 1010~1011호",서울특별시,금천구,070-4044-8832,070-4032-1902,,28.2.2
식품,수산업협동조합중앙회 수산식품연구실,권태철,서울특별시 동작구 노들로 674 6층,서울특별시,동작구,02-2254-8363,,,27.11.9
축산물,(주)동원에프엔비 식품안전센타,김성용,"서울특별시 서초구 마방로60, 2층",서울특별시,서초구,02-589-3990,031-740-3670,,24.10.4
식품,(주)동원에프앤비 식품안전센타,김성용,"서울특별시 서초구 마방로고 60, 2층",서울특별시,서초구,02-589-6842,02-589-3396,㈜동원에프앤비와 계열사 생산식품검사 및 협력업체의 납품식품검사(잔류농약 제외),24.10.4
식품,(사)한국식용유지고추가공업협회 부설 시험분석연구소,이상규,서울특별시 성동구 성수일로 84 남영디지털타워 702호,서울특별시,성동구,02-2294-2269,02-2297-1867,식용유지류에 한함,24.11.11
식품,한국장류협동조합,김진은,서울특별시 송파구 삼전로 7길 6,서울특별시,송파구,02-424-3141~4,02-424-3145,"장류, 면류, 어육가공품, 조미식품에 한함",24.8.6
건강기능식품,(사)한국인삼제품협회,송래섭,서울특별시 종로구 창경궁로 16가길 8,서울특별시,종로구,02-3672-8502~4,02-3672-8505,"인삼, 홍삼에 한함",24.11.5
식품,(사)한국인삼제품협회,송래섭,서울특별시 종로구 창경궁로 16가길 8,서울특별시,종로구,02-3672-8502~4,02-3672-8505,"기타가공품, 캔디류, 다류, 인삼홍삼음료, 혼합음료, 당절임에 한함",24.11.5
식품,재단법인 전남바이오 진흥원 식품산업 연구센터,연윤열,전라남도 나주시 동수농공단지길 30-5(동수동),전라남도,나주시,061-336-9620,061-336-9627,,25.8.29
식품,(재)목포수산식품지원센터,박홍률,전라남도 목포시 고하대로 719번길 52(연산동),전라남도,목포시,061-276-1671,061-276-1673,,26.5.20
식품,순창군미생물산업사업소,정도연,전라북도 순창군 순창읍 민속마을길 61,전라북도,순창군,063-650-5426,063-650-5429,"장류, 조미식품, 식초, 소스, 향신료가공품, 절임 또는 조림류에 한함",25.11.4
식품,한국식품산업 클러스터 진흥원,김영재,전라북도 익산시 왕궁면 국가식품로 100,전라북도,익산시,063-720-0613,063-720-0619,,26.1.21
식품,(재)전북바이오융합산업진흥원,이은미,전라북도 전주시 덕진구 원장동길 111-18,전라북도,전주시,063-210-6537,063-210-6559,,25.6.4
건강기능식품,(재)진안홍삼연구소,김태영,전라북도 진안군 진안읍 홍삼한방로 41,전라북도,진안군,063-432-0948 ,063-432-0910,,24.12.21
식품,(재)진안홍삼연구소,김태영,전라북도 진안군 진안읍 홍삼한방로 41,전라북도,진안군,063-432-0948 ,063-432-0910,,24.12.21
식품,제주대학교 생명과학기술혁신센터,박성수,제주특별자치도 제주시 제주대학로 102,제주특별자치도,제주시,064-754-2136,064-726-3539,,25.10.13
축산물,제주대학교 생명과학기술혁신센터,박성수,제주특별자치도 제주시 제주대학로 102,제주특별자치도,제주시,064-754-2134,064-726-3539,,27.8.9
건강기능식품,(주)휴먼바이오,정주영,"충청남도 공주시 한적2길 52-103, 2~4층",충청남도,공주시,041-881-9200,041-881-9201,,26.6.8
식품,(주)휴먼바이오,정주영,"충청남도 공주시 한적2길 52-103, 2~4층",충청남도,공주시,041-881-9200,041-881-9201,,26.6.8
식품첨가물,(주)휴먼바이오,정주영,"충청남도 공주시 한적2길 52-103, 2~4층",충청남도,공주시,041-881-9200,041-881-9201,,26.6.8
축산물,㈜휴먼바이오,정주영,"충청남도 공주시 한적2길 52-103, 2~4층",충청남도,공주시,041-881-9200,041-881-9201,,26.6.8.
건강기능식품,(재)금산인삼약초산업진흥원,한정만,충청남도 금산군 금산읍 인삼광장로 25,충청남도,금산군,041-750-1631,041-750-1629,,28.3.25
식품,(재)금산인삼약초산업진흥원,한정만,충청남도 금산군 금산읍 인삼광장로 25,충청남도,금산군,041-750-1631,041-750-1629,,28.3.25
식품,한서대학교 산학협력단,김현성,충청남도 서산시 한서1로 46 이학관 1층,충청남도,서산시,041-660-1776,041-660-1775,,27.8.23
축산물,한서대학교 산학협력단,김현성,"충청남도 서산시 해미면 한서1로 46, 이학관 1층",충청남도,서산시,041-660-1776,041-660-1775,,27.8.23
건강기능식품,하나원자력기술㈜ 환경방사능분석센터,"전준, 강신섭","충청북도 청주시 청원구 안덕벌로 104번길 28, 청주대학교 미래창조관 510호, 511호",충청북도,청주시,070-4035-1942,043-213-1272,,26.3.9
기구 및 용기·포장,하나원자력기술㈜ 환경방사능분석센터,"전준, 강신섭","충청북도 청주시 청원구 안덕벌로 104번길 28, 청주대학교 미래창조관 510호, 511호",충청북도,청주시,070-4035-1942,043-213-1272,,26.3.9
식품,하나원자력기술㈜ 환경방사능분석센터,"전준, 강신섭","충청북도 청주시 청원구 안덕벌로 104번길 28, 청주대학교 미래창조관 510호, 511호",충청북도,청주시,070-4035-1942,043-213-1272,,26.3.9
식품첨가물,하나원자력기술㈜ 환경방사능분석센터,"전준, 강신섭","충청북도 청주시 청원구 안덕벌로 104번길 28, 청주대학교 미래창조관 510호, 511호",충청북도,청주시,070-4035-1942,043-213-1272,,26.3.9
축산물,하나원자력기술㈜ 환경방사능분석센터,"전준, 이미숙","충청북도 청주시 청원구 안덕벌로 104번길 28, 청주대학교 미래창조관 510호, 511호",충청북도,청주시,070-4035-1942,043-213-1272,,26.3.9
위생용품,(재)FITI시험연구원,김화영,충청북도 청주시 청원구 오창읍 양청3길 21,충청북도,청주시,043-711-8880,043-711-8808,「위생용품 관리법」제10조에 따른 기준 및 규격에 따른 품목,2028.7.17.
식품,서원대학교 산학협력단,이원식,충청북도 청주시 흥덕구 무심서로 377-3 서원대학교 제2자연관 215호,충청북도,청주시,043-299-8156~7,043-299-8158,,24.9.11
식품,한국식품안전관리인증원,한상배,충청북도 청주시 흥덕구 오송읍 오송생명5로 156,충청북도,청주시,043-928-0192,043-928-0029,,27.12.25
축산물,한국식품안전관리인증원,한상배,충청북도 청주시 흥덕구 오송읍 오송생명5로 156,충청북도,청주시,043-928-0192,043-928-0029,,27.12.25
위생용품,(재)KATRI시험연구원 오송,신동준,충청북도 청주시 흥덕구 오송읍 의료단지길 55,충청북도,청주시,043-820-4831,043-238-5497,"세척제, 헹굼보조제, 일회용종이냅킨·이쑤시개·면봉·기저귀·행주·팬티라이너, 식품접객업소용물티슈, 화장지, 위생물수건, 물수건용건티슈(12품목)",2028.6.25.
축산물,주식회사 글로컬바이오,김은식,충청북도 충주시 충원대로 268 상허연구동 514호,충청북도,충주시,043-840-3871,043-840-3872,,28.1.31
식품,주식회사 글로컬바이오,김은식,"충청북도 충주시 충원대로 268, 상허연구동 514호",충청북도,충주시,043-840-3871,043-840-3872,,28.1.31
